car_model,price,year_model,kms
Volkswagen Jetta 2.0 Europa AT,$40.000.000,2015,67.500
Volkswagen Jetta Nuevo Jetta 2.0 Trendline,$44.000.000,2014,68.000
Volkswagen Jetta 2.5 Comfortline,$40.000.000,2012,93.300
Volkswagen Jetta 2.0 Gli,$67.900.000,2013,110.000
Volkswagen Jetta 1.4 Tsi Comfortline,$63.000.000,2019,54.000
Volkswagen Jetta 2.0 Trendline,$37.900.000,2014,101.000
Volkswagen Jetta 2.0 Trendline,$54.000.000,2017,51.248
Volkswagen Jetta 1.8 Gli,$48.500.000,2014,98.500
Volkswagen Nuevo Jetta Dtm  2500cc At Aa,$46.500.000,2014,115.000
Volkswagen Jetta 2.0 Trendline,$28.900.000,2009,150.000
Volkswagen Jetta Trendline 2.0cc MT AA 4X2,$32.000.000,2013,108.000
Volkswagen Jetta 1.4 Highline,$115.990.000,2024,0
Volkswagen Jetta Europa  2000cc Mt Aa,$29.000.000,2010,80.400
Volkswagen Jetta 2.0 Gli,$100.900.000,2017,82.000
Volkswagen Jetta 1.4 Tsi Sportline,$73.900.020,2019,68.000
Volkswagen Jetta 2.0 Gli,$54.800.000,2013,100.000
Volkswagen Jetta 2.0 Tsi Gli,$147.990.000,2024,0
Volkswagen Jetta Gli Automático Dsg 7 Turbo 2024 Bta,$149.990.000,2024,0
Volkswagen Jetta 1.4 Highline,$115.990.000,2024,0
Volkswagen Jetta 2.0 Europa,$36.500.000,2013,104.500
Volkswagen Jetta 2.0 Gli,$106.900.000,2020,55.500
Volkswagen Jetta Confort Line,$74.000.000,2020,55.000
Volkswagen Jetta Gli 2.0 Turbo Fe Techo,$112.000.000,2020,24.000
Volkswagen Jetta 1.4 Higline Turbo At,$109.900.000,2023,16.702
Volkswagen Jetta 1.4 Tsi Comfortline,$83.000.000,2022,10.500
Volkswagen Jetta 2.0 GLI T CT TC R18,$108.900.000,2020,35.911
Volkswagen Jetta 2.0 Trendline,$41.000.000,2014,92.500
Volkswagen Jetta 1.4 TP TSI COMFORTLINE,$100.900.000,2023,8.022
Volkswagen Jetta Gli Automático Dsg 7 Turbo 2024 Bquilla,$148.990.000,2024,0
Volkswagen Jetta 2.5 Comfortline,$41.990.000,2013,80.750
Volkswagen Jetta Europa 4x2 2000cc Mt Aa,$33.500.000,2013,127.800
Volkswagen Jetta Gli,$147.990.000,2024,0
Volkswagen Jetta 1.4 Tsi Comfortline,$63.000.000,2019,63.000
Volkswagen Jetta 2.0 Tsi Gli,$147.990.000,2024,0
Volkswagen Jetta 2.0 GLI TP T,$76.900.000,2017,82.380
Volkswagen Jetta Gli Automático Dsg 7 Turbo 2024 Mde,$149.990.000,2024,0
Volkswagen Jetta 2.5 Comfortline,$38.990.000,2012,79.890
Volkswagen Jetta 2.5 Highline,$61.900.000,2018,45.000
Volkswagen Jetta 2.5 Trendline,$45.900.000,2013,52.231
Volkswagen Jetta 2.0 Trendline,$30.900.000,2012,159.600
Volkswagen Jetta 2.5 Trendline,$36.900.000,2012,148.000
Volkswagen NUEVO JETTA 2.0 Trendline,$38.400.000,2014,72.000
Volkswagen Jetta 2.0 Comfortline,$59.900.000,2018,62.000
Volkswagen Jetta 2.0 Trendline,$24.000.000,2008,130.000
Volkswagen Jetta Highline AT 6,$117.990.000,2024,0
Volkswagen Jetta Highline AT 6,$117.990.000,2024,0
Volkswagen Jetta Highline AT 6,$117.990.000,2024,0
Volkswagen Jetta Highline AT 6,$117.990.000,2024,0
Volkswagen Jetta Gli,$147.990.000,2024,0
Volkswagen Jetta 1.4 Tsi Sportline,$77.800.000,2019,49.135
Volkswagen Jetta 1.4 Tsi Comfortline,$102.900.000,2023,7.000
Volkswagen Jetta 2.0 Comfortline,$102.000.000,2023,11.800
Volkswagen Jetta 2.0 Europa,$39.000.000,2015,77.100
Volkswagen Jetta Highline,$115.990.000,2024,0
Volkswagen Jetta Highline,$115.990.000,2024,0
Volkswagen Jetta 1.4 Tsi Comfortline,$74.900.000,2020,36.000
Volkswagen Jetta 1.4 Tsi Sportline,$79.000.000,2019,29.000
Volkswagen Jetta 2.0 Tsi Gli,$147.990.000,2024,0
Volkswagen Jetta 2.0 Europa,$39.000.000,2014,81.000
Volkswagen Jetta 1.4 Tsi Highline,$77.500.000,2020,34.500
Volkswagen Jetta 2.0 Trendline,$36.000.000,2011,62.200
Volkswagen Jetta 2.0 Tsi Gli,$147.980.000,2024,0
Volkswagen Jetta 2.0 Gli 211 hp,$74.900.000,2016,99.113
Volkswagen Jetta 1.4 Tsi Sportline,$79.900.000,2019,71.000
Volkswagen Jetta 1.4 Tsi Highline,$75.000.000,2019,59.000
Volkswagen Jetta Comfortline Mt 2000cc Aa,$43.500.000,2015,92.000
 Volkswagen Nuevo Jetta 2014,$39.990.000,2014,90.883
Volkswagen Jetta 2.0,$25.990.000,2009,123.944
Volkswagen Jetta Nf 2011,$37.990.000,2011,122.683
Volkswagen Jetta 2.0 Europa,$40.990.000,2014,164.298
Volkswagen Jetta 2.0 Trendline,$35.000.000,2012,64.200
Volkswagen Jetta 2.0,$41.900.000,2014,96.000
Volkswagen Jetta 1.4 Tsi Highline,$115.990.000,2023,0
Volkswagen Jetta 2.0 Trendline,$29.000.000,2009,188.758
Volkswagen Jetta 1.4 Turbo At Aa,$92.000.000,2022,15.000
Volkswagen Jetta 1.4 Highline,$115.990.000,2024,0
Volkswagen Nuevo Jetta  2500cc At Aa,$38.500.000,2014,102.000
Volkswagen Jetta 2.0 Trendline 4 p 114 hp,$39.000.000,2014,70.000
Volkswagen Jetta 2.0 Gli,$45.800.000,2014,112.800
Volkswagen Jetta 1.4 Tsi Highline,$81.900.000,2019,3.900
Volkswagen Jetta 2.5 Comfortline,$39.990.000,2012,76.000
Volkswagen Jetta 1.4 Tsi Comfortline,$66.900.000,2019,42.875
Volkswagen Jetta 1.4 Comfortline,$95.900.000,2024,11.360
Volkswagen Jetta 1.8 Comfortline,$32.000.000,2009,124.300
Volkswagen Jetta 1.4 Tsi Highline,$74.900.000,2019,67.300
Volkswagen Jetta 1.4 Tsi Sportline,$86.000.000,2019,6.200
Volkswagen Jetta 2.5 Trendline,$38.000.000,2013,88.000
Volkswagen Jetta 1.4 Tsi Comfortline,$97.900.000,2023,10.300
Volkswagen Jetta 2.0 Europa,$28.800.000,2012,87.500
Volkswagen Jetta 1.4 Tsi Highline,$103.900.000,2023,10.525
Volkswagen Jetta 2.0 Gli,$56.990.000,2014,76.600
Volkswagen Jetta 2.0 Comfortline,$51.900.000,2017,114.000
Volkswagen Jetta 2.5 Comfortline,$54.500.000,2016,68.800
Volkswagen Jetta 1.4 Tsi Highline,$103.900.000,2023,4.297
Volkswagen Jetta 2.5 Comfortline,$41.000.000,2013,90.925
Volkswagen Jetta 1.4 Tsi Sportline,$103.900.000,2023,4.000
Volkswagen Jetta Comfortline 2.000cc A/t C/a 2016,$47.900.000,2016,60.000
